date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-02-06 00:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-0,3,3,3,5,41,81,0.0,1019,3,10,10,2,"37,35"
2014-02-06 01:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-0,2,3,2,6,44,81,0.0,1019,3,10,16,3,"37,35"
2014-02-06 02:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,2,2,2,8,48,80,0.0,1019,2,10,23,4,"37,35"
2014-02-06 03:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,1,2,1,10,51,80,0.0,1019,2,10,29,5,"37,35"
2014-02-06 04:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,0,4,5,4,10,48,73,0.0,1019,5,10,31,5,"37,35"
2014-02-06 05:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,6,7,6,10,45,67,0.0,1019,7,10,33,6,"37,35"
2014-02-06 06:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,2,9,10,9,10,42,60,0.0,1019,10,10,35,7,"37,35"
2014-02-06 07:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,10,11,10,9,45,53,0.0,1019,11,10,55,7,"37,35"
2014-02-06 08:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,0,11,12,11,8,48,46,0.0,1019,12,10,75,6,"37,35"
2014-02-06 09:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,13,13,13,7,52,39,0.0,1018,13,10,95,6,"37,35"
2014-02-06 10:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,13,13,13,7,45,38,0.0,1018,13,10,123,6,"37,35"
2014-02-06 11:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,14,14,14,7,38,37,0.0,1017,14,10,151,6,"37,35"
2014-02-06 12:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,14,14,14,7,32,37,0.0,1016,14,10,179,6,"37,35"
2014-02-06 13:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,12,12,12,9,34,43,0.0,1017,12,10,186,6,"37,35"
2014-02-06 14:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,9,10,9,10,35,50,0.0,1017,10,10,193,6,"37,35"
2014-02-06 15:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-1,7,8,7,12,37,56,0.0,1017,8,10,200,6,"37,35"
2014-02-06 16:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,-0,6,7,6,10,31,61,0.0,1017,7,10,217,5,"37,35"
2014-02-06 17:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,0,6,6,6,8,25,65,0.0,1018,6,10,235,4,"37,35"
2014-02-06 18:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,0,5,5,5,6,19,70,0.0,1018,5,10,253,3,"37,35"
2014-02-06 19:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,5,5,5,7,20,72,0.0,1018,5,10,271,3,"37,35"
2014-02-06 20:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,4,5,4,8,21,75,0.0,1019,5,10,289,4,"37,35"
2014-02-06 21:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,4,5,4,9,22,77,0.0,1019,5,10,307,4,"37,35"
2014-02-06 22:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,4,4,4,8,20,77,0.0,1019,4,10,319,4,"37,35"
2014-02-06 23:00:00,14,2,0.0,10.7,3,44,11:30 AM,12:33 AM,07:39 AM,06:10 PM,1,3,4,3,8,17,78,0.0,1019,4,10,330,4,"37,35"
2014-02-07 00:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,3,4,3,7,14,78,0.0,1019,4,10,341,3,"37,35"
2014-02-07 01:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,3,4,3,10,16,77,0.0,1019,4,10,237,5,"37,35"
2014-02-07 02:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-0,2,4,2,12,18,76,0.0,1019,4,10,133,6,"37,35"
2014-02-07 03:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-1,2,4,2,15,20,75,0.0,1019,4,10,29,7,"37,35"
2014-02-07 04:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,4,5,4,15,20,69,0.0,1019,5,10,29,8,"37,35"
2014-02-07 05:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,1,6,7,6,14,20,63,0.0,1020,7,10,28,9,"37,35"
2014-02-07 06:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,1,8,9,8,14,20,57,0.0,1020,9,10,28,10,"37,35"
2014-02-07 07:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,1,10,11,10,12,21,52,0.0,1020,11,10,50,8,"37,35"
2014-02-07 08:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,1,12,12,12,9,21,47,0.0,1021,12,10,72,7,"37,35"
2014-02-07 09:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,13,13,13,7,22,41,0.0,1021,13,10,94,6,"37,35"
2014-02-07 10:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,14,14,14,6,25,41,0.0,1020,14,10,118,5,"37,35"
2014-02-07 11:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,14,14,14,5,28,40,0.0,1020,14,10,142,5,"37,35"
2014-02-07 12:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,1,14,14,14,5,32,39,0.0,1020,14,10,167,4,"37,35"
2014-02-07 13:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,12,12,12,6,37,45,0.0,1020,12,10,169,4,"37,35"
2014-02-07 14:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,0,10,10,10,7,43,50,0.0,1020,10,10,172,4,"37,35"
2014-02-07 15:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-0,8,8,8,8,49,56,0.0,1020,8,10,174,4,"37,35"
2014-02-07 16:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-0,7,7,7,8,43,59,0.0,1020,7,10,220,4,"37,35"
2014-02-07 17:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-0,6,7,6,8,38,62,0.0,1021,7,10,266,4,"37,35"
2014-02-07 18:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-0,6,6,6,8,33,65,0.0,1021,6,10,312,4,"37,35"
2014-02-07 19:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-1,5,6,5,10,28,63,0.0,1021,6,10,320,5,"37,35"
2014-02-07 20:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-1,4,6,4,12,24,62,0.0,1021,6,10,328,6,"37,35"
2014-02-07 21:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-2,4,5,4,14,19,60,0.0,1022,5,10,337,7,"37,35"
2014-02-07 22:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-2,4,6,4,13,13,59,0.0,1022,6,10,343,6,"37,35"
2014-02-07 23:00:00,14,4,0.0,10.7,4,51,12:10 PM,01:32 AM,07:38 AM,06:11 PM,-2,4,6,4,12,6,57,0.0,1022,6,10,349,6,"37,35"
2014-02-08 00:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-2,5,6,5,11,0,56,0.0,1022,6,10,355,5,"37,35"
2014-02-08 01:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-3,4,6,4,12,0,55,0.0,1022,6,10,237,6,"37,35"
2014-02-08 02:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-3,4,5,4,13,0,55,0.0,1022,5,10,119,6,"37,35"
2014-02-08 03:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-3,4,5,4,14,0,54,0.0,1022,5,10,1,6,"37,35"
2014-02-08 04:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-2,6,7,6,12,0,51,0.0,1022,7,10,9,6,"37,35"
2014-02-08 05:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,8,9,8,10,0,48,0.0,1023,9,10,17,6,"37,35"
2014-02-08 06:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,11,11,11,7,0,44,0.0,1024,11,10,24,6,"37,35"
2014-02-08 07:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,13,13,13,7,0,40,0.0,1023,13,10,56,6,"37,35"
2014-02-08 08:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,14,14,14,6,0,35,0.0,1023,14,10,87,5,"37,35"
2014-02-08 09:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,16,16,16,5,0,31,0.0,1023,16,10,119,5,"37,35"
2014-02-08 10:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-1,16,16,16,6,0,31,0.0,1023,16,10,139,6,"37,35"
2014-02-08 11:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,-0,16,16,16,7,0,32,0.0,1022,16,10,159,6,"37,35"
2014-02-08 12:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,0,17,17,17,8,0,32,0.0,1022,17,10,179,7,"37,35"
2014-02-08 13:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,0,14,15,14,11,0,38,0.0,1022,15,10,186,7,"37,35"
2014-02-08 14:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,0,12,13,12,13,0,44,0.0,1022,13,10,192,8,"37,35"
2014-02-08 15:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,1,10,11,10,15,0,49,0.0,1022,11,10,198,8,"37,35"
2014-02-08 16:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,1,9,10,9,14,1,54,0.0,1022,10,10,213,7,"37,35"
2014-02-08 17:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,1,8,9,8,13,3,60,0.0,1022,9,10,227,6,"37,35"
2014-02-08 18:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,1,7,7,7,11,4,65,0.0,1022,7,10,241,5,"37,35"
2014-02-08 19:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,1,6,7,6,9,7,69,0.0,1022,7,10,252,4,"37,35"
2014-02-08 20:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,2,6,6,6,7,9,72,0.0,1022,6,10,262,3,"37,35"
2014-02-08 21:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,2,6,6,6,5,11,76,0.0,1023,6,10,273,2,"37,35"
2014-02-08 22:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,2,6,6,6,4,8,76,0.0,1022,6,10,193,2,"37,35"
2014-02-08 23:00:00,17,5,0.0,10.8,4,59,12:54 PM,02:27 AM,07:37 AM,06:12 PM,3,7,7,7,4,4,76,0.0,1022,7,10,114,2,"37,35"
2014-02-09 00:00:00,14,6,0.0,10.8,4,66,01:40 PM,03:20 AM,07:36 AM,06:13 PM,3,7,7,7,4,0,77,0.0,1022,7,10,34,2,"37,35"
2014-02-09 01:00:00,14,6,0.0,10.8,4,66,01:40 PM,03:20 AM,07:36 AM,06:13 PM,3,7,7,7,5,0,77,0.0,1022,7,10,38,2,"37,35"
2014-02-09 02:00:00,14,6,0.0,10.8,4,66,01:40 PM,03:20 AM,07:36 AM,06:13 PM,3,6,6,6,6,0,78,0.0,1022,6,10,41,3,"37,35"
2014-02-09 03:00:00,14,6,0.0,10.8,4,66,01:40 PM,03:20 AM,07:36 AM,06:13 PM,3,6,6,6,8,0,78,0.0,1022,6,10,44,4,"37,35"
