PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2014-02-06T02:00:00Z,2014-02-06T01:00:00Z,PT60M,-1.4,-81,28.7,-6.5,0,0,0,0,5.1,68.7,0,949.1,346,1.6,128,0.16
2014-02-06T03:00:00Z,2014-02-06T02:00:00Z,PT60M,-2.2,-91,31.4,-7.9,0,0,0,0,5,65.1,0,949,346,1.9,116,0.16
2014-02-06T04:00:00Z,2014-02-06T03:00:00Z,PT60M,-2.2,-100,19.4,-8.4,0,0,0,0,5,62.5,0,948.9,348,2.1,104,0.16
2014-02-06T05:00:00Z,2014-02-06T04:00:00Z,PT60M,-1.6,-108,12.9,-8.2,3,0,0,3,5.1,60.9,0,949,350,2.4,93,0.16
2014-02-06T06:00:00Z,2014-02-06T05:00:00Z,PT60M,-0.9,-118,42.7,-7.8,62,19,5,67,5.1,59.3,0,949,352,2.7,82,0.16
2014-02-06T07:00:00Z,2014-02-06T06:00:00Z,PT60M,0.9,-128,7,-7.1,91,544,184,275,5.1,55,0,949,357,2.5,72,0.16
2014-02-06T08:00:00Z,2014-02-06T07:00:00Z,PT60M,3.8,-141,0.3,-6,85,809,367,452,5.2,48.7,0,948.8,8,1.9,63,0.16
2014-02-06T09:00:00Z,2014-02-06T08:00:00Z,PT60M,6.6,-156,2.8,-5,122,789,433,555,5.2,43.3,0,948.7,27,1.5,57,0.16
2014-02-06T10:00:00Z,2014-02-06T09:00:00Z,PT60M,8.7,-173,0,-4.4,98,891,529,627,5.3,39.2,0,948.3,50,1.1,54,0.16
2014-02-06T11:00:00Z,2014-02-06T10:00:00Z,PT60M,9.9,169,0,-4.4,99,886,521,620,5.4,36,0,947.7,83,0.9,54,0.16
2014-02-06T12:00:00Z,2014-02-06T11:00:00Z,PT60M,11.1,152,0,-4.5,95,851,453,548,5.4,33.2,0,947.1,120,1,58,0.16
2014-02-06T13:00:00Z,2014-02-06T12:00:00Z,PT60M,11.1,138,2.5,-4.2,105,701,304,409,5.5,34.1,0,946.8,146,1.2,65,0.16
2014-02-06T14:00:00Z,2014-02-06T13:00:00Z,PT60M,9.8,126,17.4,-3.6,132,238,76,208,5.6,38.8,0,947,168,1.5,74,0.16
2014-02-06T15:00:00Z,2014-02-06T14:00:00Z,PT60M,8.4,115,13.8,-3.1,53,45,5,58,5.6,44.3,0,947.1,182,1.9,84,0.16
2014-02-06T16:00:00Z,2014-02-06T15:00:00Z,PT60M,7.3,106,0,-2.9,2,8,1,2,5.6,48.3,0,947.4,194,1.7,95,0.16
