PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2017-12-31T02:00:00Z,2017-12-31T01:00:00Z,PT60M,-17.1,94,0.0,-21.9,0,0,0,0,0,0,4.7,66.6,0.9,1005.7,338,4.3,123,0.29
2017-12-31T03:00:00Z,2017-12-31T02:00:00Z,PT60M,-17.2,84,0.0,-22.2,0,0,0,0,0,0,4.7,65.2,0.9,1006.0,342,4.0,134,0.29
2017-12-31T04:00:00Z,2017-12-31T03:00:00Z,PT60M,-17.1,72,0.0,-22.3,0,0,0,0,0,0,4.9,64.1,0.9,1006.1,345,3.9,145,0.29
2017-12-31T05:00:00Z,2017-12-31T04:00:00Z,PT60M,-16.7,52,17.3,-22.1,0,0,0,0,0,0,5.1,63.3,0.9,1006.2,344,3.7,155,0.29
2017-12-31T06:00:00Z,2017-12-31T05:00:00Z,PT60M,-16.4,18,28.2,-21.9,0,0,0,0,0,0,5.4,62.5,0.9,1006.2,344,3.6,162,0.29
2017-12-31T07:00:00Z,2017-12-31T06:00:00Z,PT60M,-16.1,-26,12.0,-21.6,0,0,0,0,0,0,5.5,62.5,0.9,1006.3,343,3.5,161,0.29
2017-12-31T08:00:00Z,2017-12-31T07:00:00Z,PT60M,-16.0,-57,4.6,-21.3,0,0,0,0,0,0,5.5,63.3,0.9,1006.4,343,3.5,154,0.29
2017-12-31T09:00:00Z,2017-12-31T08:00:00Z,PT60M,-15.8,-74,43.6,-21.0,0,0,0,0,0,0,5.5,64.1,0.9,1006.5,343,3.5,143,0.29
2017-12-31T10:00:00Z,2017-12-31T09:00:00Z,PT60M,-16.0,-86,45.3,-20.9,0,0,0,0,0,0,5.5,66.1,0.9,1006.8,342,3.6,132,0.29
2017-12-31T11:00:00Z,2017-12-31T10:00:00Z,PT60M,-16.6,-96,54.9,-20.8,0,0,0,0,0,0,5.4,69.6,0.9,1007.3,339,3.8,120,0.29
2017-12-31T12:00:00Z,2017-12-31T11:00:00Z,PT60M,-17.2,-105,60.4,-20.8,0,0,0,0,0,0,5.4,73.2,0.9,1007.9,337,4.0,109,0.29
2017-12-31T13:00:00Z,2017-12-31T12:00:00Z,PT60M,-17.2,-113,68.7,-20.7,0,0,0,0,0,0,5.0,74.0,0.9,1008.4,335,4.1,98,0.29
2017-12-31T14:00:00Z,2017-12-31T13:00:00Z,PT60M,-16.6,-123,30.0,-20.5,13,131,13,26,77,11,4.4,71.8,0.9,1008.7,334,4.1,88,0.29
2017-12-31T15:00:00Z,2017-12-31T14:00:00Z,PT60M,-16.1,-133,0.5,-20.3,46,608,118,164,417,114,3.7,69.8,0.9,1009.1,332,4.1,79,0.29
2017-12-31T16:00:00Z,2017-12-31T15:00:00Z,PT60M,-15.2,-145,0.0,-19.8,61,797,251,311,668,478,3.3,68.0,0.9,1009.2,331,4.3,72,0.29
2017-12-31T17:00:00Z,2017-12-31T16:00:00Z,PT60M,-13.9,-159,30.5,-18.8,156,343,130,286,438,353,3.0,66.5,0.9,1009.1,329,4.5,66,0.29
2017-12-31T18:00:00Z,2017-12-31T17:00:00Z,PT60M,-12.7,-174,51.0,-17.9,232,0,0,232,217,232,2.8,65.0,0.9,1009.0,328,4.8,64,0.29
2017-12-31T19:00:00Z,2017-12-31T18:00:00Z,PT60M,-11.9,171,47.9,-17.3,245,0,0,245,229,245,2.7,64.1,0.9,1008.9,327,5.1,64,0.29
2017-12-31T20:00:00Z,2017-12-31T19:00:00Z,PT60M,-11.5,156,33.8,-17.0,246,59,22,268,288,284,2.8,63.6,0.9,1008.8,329,5.5,67,0.29
2017-12-31T21:00:00Z,2017-12-31T20:00:00Z,PT60M,-11.1,143,20.9,-16.7,148,278,81,229,362,283,2.8,63.1,0.9,1008.6,329,6.0,73,0.29
2017-12-31T22:00:00Z,2017-12-31T21:00:00Z,PT60M,-11.7,131,3.1,-17.0,49,532,85,134,349,63,2.7,64.5,0.9,1009.1,329,6.0,81,0.29
2017-12-31T23:00:00Z,2017-12-31T22:00:00Z,PT60M,-13.2,121,16.7,-17.9,7,90,8,15,48,5,2.6,68.1,0.9,1010.0,327,5.7,90,0.29
2018-01-01T00:00:00Z,2017-12-31T23:00:00Z,PT60M,-14.8,112,27.9,-18.8,0,0,0,0,0,0,2.5,71.9,0.9,1011.0,325,5.4,100,0.29
2018-01-01T01:00:00Z,2018-01-01T00:00:00Z,PT60M,-15.7,103,30.8,-19.4,0,0,0,0,0,0,2.4,73.3,0.9,1011.6,324,5.3,111,0.29
2018-01-01T02:00:00Z,2018-01-01T01:00:00Z,PT60M,-16.1,94,12.3,-19.9,0,0,0,0,0,0,2.2,72.2,0.9,1011.9,323,5.3,122,0.29
2018-01-01T03:00:00Z,2018-01-01T02:00:00Z,PT60M,-16.4,84,0.0,-20.4,0,0,0,0,0,0,2.1,71.1,0.9,1012.2,323,5.4,134,0.29
2018-01-01T04:00:00Z,2018-01-01T03:00:00Z,PT60M,-16.8,72,0.0,-21.0,0,0,0,0,0,0,1.9,70.0,0.9,1012.5,323,5.4,145,0.29
2018-01-01T05:00:00Z,2018-01-01T04:00:00Z,PT60M,-17.4,52,0.0,-21.8,0,0,0,0,0,0,1.7,68.9,0.9,1012.9,321,5.4,155,0.29
2018-01-01T06:00:00Z,2018-01-01T05:00:00Z,PT60M,-18.0,19,0.0,-22.5,0,0,0,0,0,0,1.6,67.9,0.9,1013.3,320,5.4,162,0.29
2018-01-01T07:00:00Z,2018-01-01T06:00:00Z,PT60M,-18.6,-25,0.0,-23.2,0,0,0,0,0,0,1.4,67.1,0.9,1013.6,319,5.4,161,0.3
2018-01-01T08:00:00Z,2018-01-01T07:00:00Z,PT60M,-19.2,-56,0.0,-23.9,0,0,0,0,0,0,1.3,66.5,0.9,1013.9,319,5.5,154,0.3
2018-01-01T09:00:00Z,2018-01-01T08:00:00Z,PT60M,-19.9,-74,0.0,-24.6,0,0,0,0,0,0,1.2,66.0,0.9,1014.2,318,5.5,143,0.3
2018-01-01T10:00:00Z,2018-01-01T09:00:00Z,PT60M,-20.9,-86,0.0,-25.5,0,0,0,0,0,0,1.2,66.4,0.9,1014.5,316,5.6,132,0.3
