PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2014-02-05T02:00:00Z,2014-02-05T01:00:00Z,PT60M,5.1,-38,0.0,0.7,0,0,0,0,8.4,73.7,0.0,996.5,153,7.5,140,0.15
2014-02-05T03:00:00Z,2014-02-05T02:00:00Z,PT60M,5.4,-56,0.0,0.4,0,0,0,0,9.0,70.3,0.0,995.4,153,7.9,133,0.15
2014-02-05T04:00:00Z,2014-02-05T03:00:00Z,PT60M,5.7,-71,0.0,0.3,0,0,0,0,10.0,68.1,0.0,994.5,155,8.3,125,0.15
2014-02-05T05:00:00Z,2014-02-05T04:00:00Z,PT60M,6.0,-84,46.8,0.3,0,0,0,0,11.6,66.9,0.0,993.7,158,8.8,115,0.15
2014-02-05T06:00:00Z,2014-02-05T05:00:00Z,PT60M,6.3,-96,89.5,0.3,0,0,0,0,13.1,65.8,0.0,993.0,161,9.3,106,0.15
2014-02-05T07:00:00Z,2014-02-05T06:00:00Z,PT60M,6.3,-108,79.0,0.8,0,0,0,0,13.8,68.0,0.0,992.4,163,9.5,97,0.15
2014-02-05T08:00:00Z,2014-02-05T07:00:00Z,PT60M,6.0,-119,73.0,1.7,4,0,0,4,13.5,73.8,0.0,992.1,166,9.3,89,0.15
2014-02-05T09:00:00Z,2014-02-05T08:00:00Z,PT60M,5.8,-132,59.9,2.6,43,46,10,53,13.2,80.1,0.0,991.8,169,9.2,81,0.15
2014-02-05T10:00:00Z,2014-02-05T09:00:00Z,PT60M,6.3,-145,13.5,3.3,97,377,94,191,13.0,80.8,0.0,991.4,173,9.1,75,0.15
2014-02-05T11:00:00Z,2014-02-05T10:00:00Z,PT60M,7.6,-159,9.9,3.6,120,471,161,282,13.0,76.1,0.0,991.0,180,9.3,70,0.15
2014-02-05T12:00:00Z,2014-02-05T11:00:00Z,PT60M,8.8,-174,2.1,4.0,83,705,262,345,12.9,71.8,0.0,990.6,186,9.5,68,0.15
2014-02-05T13:00:00Z,2014-02-05T12:00:00Z,PT60M,9.4,170,43.5,4.2,171,70,26,198,12.7,69.9,0.0,990.2,189,9.4,69,0.15
2014-02-05T14:00:00Z,2014-02-05T13:00:00Z,PT60M,9.4,155,63.5,4.2,109,0,0,109,12.3,70.1,0.0,989.9,186,9.0,71,0.15
2014-02-05T15:00:00Z,2014-02-05T14:00:00Z,PT60M,9.4,141,63.0,4.3,75,0,0,75,11.9,70.4,0.0,989.6,184,8.6,76,0.15
2014-02-05T16:00:00Z,2014-02-05T15:00:00Z,PT60M,9.1,128,20.0,4.0,47,192,27,74,11.7,70.3,0.0,989.6,183,8.4,83,0.15
2014-02-05T17:00:00Z,2014-02-05T16:00:00Z,PT60M,8.5,116,38.8,3.3,5,0,0,5,11.8,70.0,0.0,989.9,183,8.4,91,0.15
2014-02-05T18:00:00Z,2014-02-05T17:00:00Z,PT60M,7.9,104,0.2,2.7,0,0,0,0,11.8,69.7,0.0,990.2,183,8.4,99,0.15
2014-02-05T19:00:00Z,2014-02-05T18:00:00Z,PT60M,7.5,93,0.0,2.5,0,0,0,0,12.1,70.5,0.0,990.5,187,8.5,109,0.15
2014-02-05T20:00:00Z,2014-02-05T19:00:00Z,PT60M,7.4,81,0.0,2.7,0,0,0,0,12.7,72.5,0.0,990.9,193,8.8,118,0.15
2014-02-05T21:00:00Z,2014-02-05T20:00:00Z,PT60M,7.2,67,0.0,3.0,0,0,0,0,13.3,74.5,0.0,991.3,199,9.2,127,0.15
2014-02-05T22:00:00Z,2014-02-05T21:00:00Z,PT60M,7.4,52,0.0,3.3,0,0,0,0,13.4,75.5,0.0,992.0,204,9.3,135,0.15
2014-02-05T23:00:00Z,2014-02-05T22:00:00Z,PT60M,7.8,32,40.1,3.8,0,0,0,0,13.0,75.5,0.0,992.9,208,9.2,141,0.15
2014-02-06T00:00:00Z,2014-02-05T23:00:00Z,PT60M,8.3,9,67.5,4.2,0,0,0,0,12.6,75.5,0.0,993.8,213,9.1,144,0.15
2014-02-06T01:00:00Z,2014-02-06T00:00:00Z,PT60M,8.3,-16,66.0,4.4,0,0,0,0,12.1,76.2,0.0,994.6,215,9.1,144,0.14
2014-02-06T02:00:00Z,2014-02-06T01:00:00Z,PT60M,7.9,-38,25.7,4.3,0,0,0,0,11.5,77.5,0.0,995.3,216,9.1,139,0.14
2014-02-06T03:00:00Z,2014-02-06T02:00:00Z,PT60M,7.6,-56,0.0,4.2,0,0,0,0,11.0,78.9,0.0,996.0,217,9.0,133,0.14
2014-02-06T04:00:00Z,2014-02-06T03:00:00Z,PT60M,7.3,-71,0.0,4.0,0,0,0,0,10.7,79.5,0.0,996.6,218,8.9,124,0.14
2014-02-06T05:00:00Z,2014-02-06T04:00:00Z,PT60M,7.0,-84,0.0,3.7,0,0,0,0,10.6,79.2,0.0,997.0,217,8.7,115,0.14
2014-02-06T06:00:00Z,2014-02-06T05:00:00Z,PT60M,6.8,-96,0.0,3.4,0,0,0,0,10.6,79.0,0.0,997.5,217,8.5,106,0.14
2014-02-06T07:00:00Z,2014-02-06T06:00:00Z,PT60M,6.8,-107,0.0,3.3,0,0,0,0,10.5,78.5,0.0,998.0,216,8.4,97,0.14
2014-02-06T08:00:00Z,2014-02-06T07:00:00Z,PT60M,6.9,-119,2.7,3.2,14,42,4,17,10.5,77.8,0.0,998.7,214,8.3,88,0.14
2014-02-06T09:00:00Z,2014-02-06T08:00:00Z,PT60M,7.0,-131,35.2,3.2,69,37,8,77,10.4,77.0,0.0,999.3,213,8.2,81,0.14
2014-02-06T10:00:00Z,2014-02-06T09:00:00Z,PT60M,7.4,-145,18.0,3.3,136,192,49,185,10.7,75.4,0.0,999.6,212,8.2,74,0.14
2014-02-06T11:00:00Z,2014-02-06T10:00:00Z,PT60M,8.2,-159,31.8,3.6,185,73,26,212,11.4,72.9,0.0,999.6,212,8.3,70,0.14
2014-02-06T12:00:00Z,2014-02-06T11:00:00Z,PT60M,9.0,-174,40.1,3.9,174,91,34,208,12.1,70.6,0.0,999.6,212,8.5,68,0.14
2014-02-06T13:00:00Z,2014-02-06T12:00:00Z,PT60M,9.3,170,58.6,4.1,143,0,0,143,13.0,69.7,0.0,999.1,208,8.0,68,0.14
