date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-02-06 00:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,7,1,64,41,88,0.6,984,7,9,234,41,"52.43,-4.01"
2014-02-06 01:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,7,1,63,36,89,0.3,985,7,9,234,40,"52.43,-4.01"
2014-02-06 02:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,7,1,61,31,89,0.1,986,7,9,234,38,"52.43,-4.01"
2014-02-06 03:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,6,1,59,25,89,0.1,987,6,9,234,37,"52.43,-4.01"
2014-02-06 04:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,6,1,53,28,89,0.0,988,6,9,232,33,"52.43,-4.01"
2014-02-06 05:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,6,1,47,30,89,0.0,989,6,10,230,30,"52.43,-4.01"
2014-02-06 06:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,5,1,6,1,41,32,90,0.0,989,6,10,229,26,"52.43,-4.01"
2014-02-06 07:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,2,6,2,40,45,88,0.0,990,6,10,221,25,"52.43,-4.01"
2014-02-06 08:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,2,6,2,38,59,87,0.1,991,6,10,214,25,"52.43,-4.01"
2014-02-06 09:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,3,7,3,37,72,86,0.1,992,7,10,207,24,"52.43,-4.01"
2014-02-06 10:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,3,7,3,32,67,84,0.0,991,7,10,206,21,"52.43,-4.01"
2014-02-06 11:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,4,7,4,26,63,81,0.0,990,7,10,205,19,"52.43,-4.01"
2014-02-06 12:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,4,5,7,5,21,58,79,0.0,989,7,10,204,16,"52.43,-4.01"
2014-02-06 13:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,3,4,7,4,20,59,79,0.0,988,7,10,160,15,"52.43,-4.01"
2014-02-06 14:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,3,4,6,4,19,60,79,0.3,987,6,9,116,14,"52.43,-4.01"
2014-02-06 15:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,3,6,3,18,62,79,0.4,985,6,9,73,13,"52.43,-4.01"
2014-02-06 16:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,2,5,2,22,73,83,0.2,984,5,9,64,15,"52.43,-4.01"
2014-02-06 17:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,3,1,5,1,25,84,86,0.0,983,5,10,55,17,"52.43,-4.01"
2014-02-06 18:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,3,-0,4,-0,29,95,90,0.0,982,4,10,46,20,"52.43,-4.01"
2014-02-06 19:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,3,-1,4,-1,30,94,91,0.0,982,4,9,42,20,"52.43,-4.01"
2014-02-06 20:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,-1,4,-1,32,94,91,0.9,981,4,8,38,21,"52.43,-4.01"
2014-02-06 21:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,-1,3,-1,33,93,92,1.2,981,3,7,35,21,"52.43,-4.01"
2014-02-06 22:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,-1,3,-1,30,92,92,0.6,981,3,8,24,20,"52.43,-4.01"
2014-02-06 23:00:00,7,3,0.0,6.5,2,44,11:35 AM,01:48 AM,08:49 AM,06:12 PM,2,-1,3,-1,28,91,92,0.0,981,3,9,14,18,"52.43,-4.01"
2014-02-07 00:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,2,-1,4,-1,25,90,93,0.0,981,4,10,3,17,"52.43,-4.01"
2014-02-07 01:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,-1,4,-1,27,90,91,0.0,982,4,10,111,18,"52.43,-4.01"
2014-02-07 02:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,4,0,28,90,90,0.4,982,4,9,218,19,"52.43,-4.01"
2014-02-07 03:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,1,5,1,30,90,89,0.5,983,5,9,326,20,"52.43,-4.01"
2014-02-07 04:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,32,92,89,0.3,985,5,7,317,22,"52.43,-4.01"
2014-02-07 05:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,35,93,88,0.2,986,5,4,309,24,"52.43,-4.01"
2014-02-07 06:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,37,95,88,0.3,988,5,2,300,25,"52.43,-4.01"
2014-02-07 07:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,38,83,87,0.1,989,5,5,294,26,"52.43,-4.01"
2014-02-07 08:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,39,71,87,0.2,990,5,7,289,27,"52.43,-4.01"
2014-02-07 09:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,0,5,0,40,59,86,0.3,991,5,10,283,28,"52.43,-4.01"
2014-02-07 10:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,1,5,1,38,42,82,0.1,992,5,10,272,27,"52.43,-4.01"
2014-02-07 11:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,2,1,6,1,35,26,78,0.0,992,6,10,260,26,"52.43,-4.01"
2014-02-07 12:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,2,2,6,2,33,9,74,0.0,993,6,10,249,26,"52.43,-4.01"
2014-02-07 13:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,2,2,6,2,33,16,75,0.0,992,6,10,231,25,"52.43,-4.01"
2014-02-07 14:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,3,7,3,33,22,76,0.0,992,7,10,213,24,"52.43,-4.01"
2014-02-07 15:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,3,7,3,33,29,76,0.0,991,7,10,196,24,"52.43,-4.01"
2014-02-07 16:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,2,7,2,36,49,79,0.0,990,7,10,185,25,"52.43,-4.01"
2014-02-07 17:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,2,6,2,40,69,82,0.0,989,6,10,175,27,"52.43,-4.01"
2014-02-07 18:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,3,1,6,1,43,90,85,0.0,988,6,10,164,28,"52.43,-4.01"
2014-02-07 19:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,4,0,6,0,50,92,88,0.0,985,6,10,159,33,"52.43,-4.01"
2014-02-07 20:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,4,-0,5,-0,57,95,90,0.6,982,5,9,155,38,"52.43,-4.01"
2014-02-07 21:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,4,-1,5,-1,64,98,92,0.8,980,5,9,150,42,"52.43,-4.01"
2014-02-07 22:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,5,0,6,0,61,99,93,0.4,978,6,9,157,40,"52.43,-4.01"
2014-02-07 23:00:00,7,4,0.0,9.7,2,51,12:09 PM,02:54 AM,08:47 AM,06:13 PM,5,1,6,1,57,99,94,0.0,976,6,10,164,37,"52.43,-4.01"
2014-02-08 00:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,6,2,7,2,54,100,95,0.0,974,7,10,171,35,"52.43,-4.01"
2014-02-08 01:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,1,6,1,56,70,90,0.0,974,6,10,183,36,"52.43,-4.01"
2014-02-08 02:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,4,1,6,1,59,40,84,0.4,974,6,9,194,37,"52.43,-4.01"
2014-02-08 03:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,2,1,6,1,61,10,78,0.6,973,6,9,206,38,"52.43,-4.01"
2014-02-08 04:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,2,0,6,0,62,16,77,0.3,973,6,9,199,39,"52.43,-4.01"
2014-02-08 05:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,2,-0,6,-0,64,22,75,0.2,972,6,9,192,40,"52.43,-4.01"
2014-02-08 06:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,1,-0,5,-0,65,27,74,0.2,971,5,9,185,41,"52.43,-4.01"
2014-02-08 07:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,2,-0,6,-0,69,37,76,0.1,970,6,9,186,44,"52.43,-4.01"
2014-02-08 08:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,2,-0,6,-0,72,47,77,0.1,969,6,10,188,47,"52.43,-4.01"
2014-02-08 09:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,3,0,6,0,76,57,79,0.1,968,6,10,189,50,"52.43,-4.01"
2014-02-08 10:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,3,0,6,0,75,63,80,0.1,967,6,10,189,51,"52.43,-4.01"
2014-02-08 11:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,4,1,7,1,74,69,81,0.0,966,7,9,188,52,"52.43,-4.01"
2014-02-08 12:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,4,1,7,1,74,74,82,0.0,965,7,9,188,53,"52.43,-4.01"
2014-02-08 13:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,4,1,7,1,72,80,86,0.0,964,7,8,195,49,"52.43,-4.01"
2014-02-08 14:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,71,86,89,1.7,963,6,7,203,46,"52.43,-4.01"
2014-02-08 15:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,70,92,93,2.3,963,6,6,210,43,"52.43,-4.01"
2014-02-08 16:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,69,88,92,1.2,963,6,6,213,43,"52.43,-4.01"
2014-02-08 17:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,69,84,91,0.6,964,6,6,217,43,"52.43,-4.01"
2014-02-08 18:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,1,7,1,69,80,89,0.8,964,7,6,220,43,"52.43,-4.01"
2014-02-08 19:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,73,87,90,0.4,965,6,6,222,46,"52.43,-4.01"
2014-02-08 20:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,76,93,90,1.3,966,6,7,224,49,"52.43,-4.01"
2014-02-08 21:00:00,7,5,0.0,6.5,2,59,12:48 PM,03:55 AM,08:45 AM,06:15 PM,5,0,6,0,80,100,91,1.7,967,6,7,227,52,"52.43,-4.01"
