PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2014-02-05T02:00:00Z,2014-02-05T01:00:00Z,PT60M,6.3,-24,7.5,4.6,0,0,0,0,11.9,89.3,0.0,956.4,157,12.4,142,0.15
2014-02-05T03:00:00Z,2014-02-05T02:00:00Z,PT60M,6.1,-45,0.0,4.5,0,0,0,0,11.4,89.5,0.0,955.6,159,11.2,137,0.15
2014-02-05T04:00:00Z,2014-02-05T03:00:00Z,PT60M,6.0,-62,0.0,4.4,0,0,0,0,11.1,89.8,0.0,954.8,159,10.7,129,0.15
2014-02-05T05:00:00Z,2014-02-05T04:00:00Z,PT60M,5.8,-76,0.0,4.3,0,0,0,0,11.0,90.2,0.0,954.0,158,11.1,121,0.15
2014-02-05T06:00:00Z,2014-02-05T05:00:00Z,PT60M,5.7,-89,0.0,4.2,0,0,0,0,11.0,90.6,0.0,953.3,157,11.4,112,0.15
2014-02-05T07:00:00Z,2014-02-05T06:00:00Z,PT60M,5.6,-100,0.0,4.2,0,0,0,0,11.3,90.7,0.0,952.4,155,11.8,103,0.15
2014-02-05T08:00:00Z,2014-02-05T07:00:00Z,PT60M,5.6,-112,0.0,4.1,0,0,0,0,12.1,90.5,0.0,951.3,152,12.3,94,0.15
2014-02-05T09:00:00Z,2014-02-05T08:00:00Z,PT60M,5.6,-124,36.9,4.1,12,0,0,12,12.9,90.3,0.0,950.3,150,12.9,86,0.15
2014-02-05T10:00:00Z,2014-02-05T09:00:00Z,PT60M,5.9,-136,55.6,4.4,48,0,0,48,13.2,90.3,0.0,949.5,152,12.5,79,0.15
2014-02-05T11:00:00Z,2014-02-05T10:00:00Z,PT60M,6.6,-150,78.6,5.1,37,0,0,37,13.0,90.6,0.0,949.0,160,11.3,74,0.15
