PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2015-02-13T02:00:00Z,2015-02-13T01:00:00Z,PT60M,-2.5,-69,0.0,-3.9,0,0,0,0,5.9,90.2,10.7,998.3,287,4.5,121,0.6
2015-02-13T03:00:00Z,2015-02-13T02:00:00Z,PT60M,-2.9,-82,26.4,-4.4,0,0,0,0,6.0,89.9,10.7,998.4,290,4.2,112,0.6
2015-02-13T04:00:00Z,2015-02-13T03:00:00Z,PT60M,-3.2,-95,74.5,-4.7,0,0,0,0,6.0,89.6,10.7,998.7,294,4.0,104,0.6
2015-02-13T05:00:00Z,2015-02-13T04:00:00Z,PT60M,-3.3,-107,67.1,-4.8,0,0,0,0,6.1,89.2,10.7,999.0,297,3.8,95,0.6
2015-02-13T06:00:00Z,2015-02-13T05:00:00Z,PT60M,-3.3,-119,70.9,-4.9,5,0,0,5,6.2,88.8,10.7,999.3,302,3.6,87,0.6
2015-02-13T07:00:00Z,2015-02-13T06:00:00Z,PT60M,-3.1,-132,99.1,-5.0,5,0,0,5,6.2,86.9,10.7,999.6,307,3.4,80,0.6
2015-02-13T08:00:00Z,2015-02-13T07:00:00Z,PT60M,-2.7,-146,99.0,-5.1,8,0,0,8,6.3,83.5,10.7,999.8,313,3.3,75,0.6
2015-02-13T09:00:00Z,2015-02-13T08:00:00Z,PT60M,-2.2,-161,96.0,-5.2,17,0,0,17,6.3,80.3,10.7,1000.1,319,3.2,71,0.6
2015-02-13T10:00:00Z,2015-02-13T09:00:00Z,PT60M,-1.8,-176,86.2,-5.0,51,0,0,51,6.3,78.8,10.5,1000.4,324,3.0,69,0.6
2015-02-13T11:00:00Z,2015-02-13T10:00:00Z,PT60M,-1.3,169,74.5,-4.6,92,0,0,92,6.4,78.7,10.1,1000.8,328,2.7,70,0.6
2015-02-13T12:00:00Z,2015-02-13T11:00:00Z,PT60M,-0.9,153,69.0,-4.1,91,0,0,91,6.4,78.7,9.8,1001.2,332,2.4,72,0.6
2015-02-13T13:00:00Z,2015-02-13T12:00:00Z,PT60M,-0.8,139,42.7,-3.8,116,0,0,116,6.4,80.0,9.6,1001.5,331,2.0,77,0.6
2015-02-13T14:00:00Z,2015-02-13T13:00:00Z,PT60M,-1.0,126,19.4,-3.7,56,139,12,68,6.3,82.4,9.6,1001.7,321,1.6,83,0.6
2015-02-13T15:00:00Z,2015-02-13T14:00:00Z,PT60M,-1.3,113,0.0,-3.5,4,45,4,8,6.2,84.9,9.6,1002.0,305,1.3,91,0.6
2015-02-13T16:00:00Z,2015-02-13T15:00:00Z,PT60M,-1.6,101,0.0,-3.4,0,0,0,0,6.0,87.4,9.6,1002.2,288,1.2,99,0.6
2015-02-13T17:00:00Z,2015-02-13T16:00:00Z,PT60M,-1.9,89,0.0,-3.3,0,0,0,0,5.9,89.9,9.6,1002.4,273,1.1,108,0.6
2015-02-13T18:00:00Z,2015-02-13T17:00:00Z,PT60M,-2.2,76,0.0,-3.3,0,0,0,0,5.8,92.5,9.6,1002.6,259,1.2,116,0.6
2015-02-13T19:00:00Z,2015-02-13T18:00:00Z,PT60M,-2.5,62,0.0,-3.3,0,0,0,0,5.7,94.0,9.6,1002.7,247,1.3,124,0.6
2015-02-13T20:00:00Z,2015-02-13T19:00:00Z,PT60M,-2.7,46,0.0,-3.5,0,0,0,0,5.7,94.4,9.6,1002.6,237,1.4,131,0.6
2015-02-13T21:00:00Z,2015-02-13T20:00:00Z,PT60M,-3.0,27,0.0,-3.7,0,0,0,0,5.7,94.7,9.6,1002.5,229,1.5,136,0.6
2015-02-13T22:00:00Z,2015-02-13T21:00:00Z,PT60M,-2.8,6,0.0,-3.9,0,0,0,0,5.7,92.3,9.8,1002.5,224,1.7,138,0.6
2015-02-13T23:00:00Z,2015-02-13T22:00:00Z,PT60M,-2.4,-16,0.0,-4.1,0,0,0,0,5.9,87.7,10.2,1002.5,221,1.9,138,0.6
2015-02-14T00:00:00Z,2015-02-13T23:00:00Z,PT60M,-1.9,-36,0.0,-4.4,0,0,0,0,6.1,83.4,10.5,1002.4,219,2.2,134,0.6
