"","year","doy","hour","precip","solar","rh","windspeed","temp","doy_time","time"
"8761",2019,1,0,0,0,0.91,9.3,6.5,24,1
"8762",2019,1,1,0,0,0.926,8.6,5.5,25,1.04166666666667
"8763",2019,1,2,0,0,0.942,8,4.5,26,1.08333333333333
"8764",2019,1,3,0,0,0.951,7.3,3.8,27,1.125
"8765",2019,1,4,0,0,0.952,6.5,3.3,28,1.16666666666667
"8766",2019,1,5,0,0,0.953,5.7,2.7,29,1.20833333333333
"8767",2019,1,6,0,0,0.954,5.1,2.4,30,1.25
"8768",2019,1,7,0,0,0.954,4.5,2.2,31,1.29166666666667
"8769",2019,1,8,0,0,0.955,4,2,32,1.33333333333333
"8770",2019,1,9,0,0,0.951,3.5,2.1,33,1.375
"8771",2019,1,10,0,0,0.941,2.8,2.3,34,1.41666666666667
"8772",2019,1,11,0,0,0.932,2.1,2.5,35,1.45833333333333
"8773",2019,1,12,0,0,0.922,2,2.5,36,1.5
"8774",2019,1,13,0,32.2,0.911,2.3,2.3,37,1.54166666666667
"8775",2019,1,14,0,0,0.901,2.8,2.1,38,1.58333333333333
"8776",2019,1,15,0,0,0.877,2.9,2.3,39,1.625
"8777",2019,1,16,0,0,0.842,2.6,3,40,1.66666666666667
"8778",2019,1,17,0,0,0.808,2.3,3.6,41,1.70833333333333
"8779",2019,1,18,0,0,0.785,2.2,3.8,42,1.75
"8780",2019,1,19,0,0,0.771,2.3,3.8,43,1.79166666666667
"8781",2019,1,20,0,0,0.757,2.5,3.8,44,1.83333333333333
"8782",2019,1,21,0,0,0.777,2.6,3.4,45,1.875
"8783",2019,1,22,0,0,0.832,2.5,2.7,46,1.91666666666667
"8784",2019,1,23,0,0,0.891,2.4,2,47,1.95833333333333
"8785",2019,2,0,0,0,0.925,2.2,1.4,48,2
"8786",2019,2,1,0,0,0.932,2,0.9,49,2.04166666666667
"8787",2019,2,2,0,0,0.939,1.7,0.4,50,2.08333333333333
"8788",2019,2,3,0,0,0.947,1.5,-0.1,51,2.125
"8789",2019,2,4,0,0,0.955,1.3,-0.5,52,2.16666666666667
"8790",2019,2,5,0,0,0.964,1.1,-0.8,53,2.20833333333333
"8791",2019,2,6,0,0,0.97,0.9,-1.1,54,2.25
"8792",2019,2,7,0,0,0.971,0.7,-1.1,55,2.29166666666667
"8793",2019,2,8,0,0,0.973,0.6,-1.2,56,2.33333333333333
"8794",2019,2,9,0,0,0.978,0.7,-1.1,57,2.375
"8795",2019,2,10,0,0,0.987,1.1,-0.7,58,2.41666666666667
"8796",2019,2,11,0,0,0.995,1.5,-0.4,59,2.45833333333333
"8797",2019,2,12,0,0,0.981,1.9,-0.2,60,2.5
"8798",2019,2,13,0,0,0.944,2.6,-0.3,61,2.54166666666667
"8799",2019,2,14,0,0,0.908,3.2,-0.3,62,2.58333333333333
"8800",2019,2,15,0,0,0.864,3.8,-0.2,63,2.625
"8801",2019,2,16,0,0,0.814,4.4,0.2,64,2.66666666666667
"8802",2019,2,17,0,0,0.767,5,0.6,65,2.70833333333333
"8803",2019,2,18,0,0,0.737,5.4,0.8,66,2.75
"8804",2019,2,19,0,0,0.722,5.5,1,67,2.79166666666667
"8805",2019,2,20,0,0,0.707,5.7,1.1,68,2.83333333333333
"8806",2019,2,21,0,0,0.718,5.5,1,69,2.875
"8807",2019,2,22,0,0,0.756,5,0.5,70,2.91666666666667
"8808",2019,2,23,0,0,0.795,4.5,0,71,2.95833333333333
"8809",2019,3,0,0,0,0.806,4.2,-0.5,72,3
"8810",2019,3,1,0,0,0.787,4.2,-1.2,73,3.04166666666667
"8811",2019,3,2,0,0,0.768,4.1,-1.8,74,3.08333333333333
"8812",2019,3,3,0,0,0.76,3.8,-2.3,75,3.125
"8813",2019,3,4,0,0,0.761,3.3,-2.7,76,3.16666666666667
"8814",2019,3,5,0,0,0.763,2.7,-3.1,77,3.20833333333333
"8815",2019,3,6,0,0,0.767,2.5,-3.4,78,3.25
"8816",2019,3,7,0,0,0.773,2.4,-3.7,79,3.29166666666667
"8817",2019,3,8,0,0,0.779,2.4,-4,80,3.33333333333333
"8818",2019,3,9,0,0,0.8,2.3,-4.1,81,3.375
"8819",2019,3,10,0,0,0.836,2.3,-4,82,3.41666666666667
"8820",2019,3,11,0,0,0.873,2.2,-3.9,83,3.45833333333333
"8821",2019,3,12,0,0,0.87,2.5,-3.6,84,3.5
"8822",2019,3,13,0,791.2,0.829,3,-2.9,85,3.54166666666667
"8823",2019,3,14,0,2953.2,0.789,3.5,-2.3,86,3.58333333333333
"8824",2019,3,15,0,3726,0.745,3.8,-1.2,87,3.625
"8825",2019,3,16,0,4084.8,0.699,3.9,0.4,88,3.66666666666667
"8826",2019,3,17,0,4209,0.656,4,2.1,89,3.70833333333333
"8827",2019,3,18,0,4144.6,0.634,3.9,3.2,90,3.75
"8828",2019,3,19,0,3969.8,0.629,3.8,3.7,91,3.79166666666667
"8829",2019,3,20,0,3606.4,0.625,3.6,4.2,92,3.83333333333333
"8830",2019,3,21,0,2783,0.65,3.4,3.9,93,3.875
"8831",2019,3,22,0,496.8,0.708,3.2,2.8,94,3.91666666666667
"8832",2019,3,23,0,0,0.772,3,1.7,95,3.95833333333333
"8833",2019,4,0,0,0,0.812,3,0.9,96,4
"8834",2019,4,1,0,0,0.825,3.1,0.3,97,4.04166666666667
"8835",2019,4,2,0,0,0.838,3.2,-0.2,98,4.08333333333333
"8836",2019,4,3,0,0,0.848,3.2,-0.7,99,4.125
"8837",2019,4,4,0,0,0.856,3,-1,100,4.16666666666667
"8838",2019,4,5,0,0,0.864,2.8,-1.3,101,4.20833333333333
"8839",2019,4,6,0,0,0.874,2.5,-1.7,102,4.25
"8840",2019,4,7,0,0,0.887,2.1,-2.2,103,4.29166666666667
"8841",2019,4,8,0,0,0.901,1.8,-2.6,104,4.33333333333333
"8842",2019,4,9,0,0,0.91,1.7,-2.9,105,4.375
"8843",2019,4,10,0,0,0.915,1.7,-2.8,106,4.41666666666667
"8844",2019,4,11,0,0,0.921,1.8,-2.8,107,4.45833333333333
"8845",2019,4,12,0,0,0.909,1.7,-2.3,108,4.5
"8846",2019,4,13,0,455.4,0.883,1.7,-1.2,109,4.54166666666667
"8847",2019,4,14,0,1527.2,0.857,1.6,-0.2,110,4.58333333333333
"8848",2019,4,15,0,685.4,0.817,1.4,1.4,111,4.625
"8849",2019,4,16,0,46,0.764,1,3.5,112,4.66666666666667
"8850",2019,4,17,0,0,0.715,1.1,5.5,113,4.70833333333333
"8851",2019,4,18,0,0,0.692,1.3,6.8,114,4.75
"8852",2019,4,19,0,0,0.689,1.6,7.1,115,4.79166666666667
"8853",2019,4,20,0,0,0.687,1.9,7.5,116,4.83333333333333
"8854",2019,4,21,0,69,0.701,2,7,117,4.875
"8855",2019,4,22,0,257.6,0.735,2,5.6,118,4.91666666666667
"8856",2019,4,23,0,0,0.77,2.2,4.3,119,4.95833333333333
"8857",2019,5,0,0,0,0.806,2.4,3.3,120,5
"8858",2019,5,1,0,0,0.843,2.6,2.7,121,5.04166666666667
"8859",2019,5,2,0,0,0.882,2.7,2,122,5.08333333333333
"8860",2019,5,3,0,0,0.905,2.9,1.5,123,5.125
"8861",2019,5,4,0,0,0.91,3,1.1,124,5.16666666666667
"8862",2019,5,5,0,0,0.916,3,0.7,125,5.20833333333333
"8863",2019,5,6,0,0,0.919,3.2,0.4,126,5.25
"8864",2019,5,7,0,0,0.919,3.4,0.3,127,5.29166666666667
"8865",2019,5,8,0,0,0.918,3.5,0.2,128,5.33333333333333
"8866",2019,5,9,0,0,0.914,3.5,0.1,129,5.375
"8867",2019,5,10,0,0,0.905,3.2,0,130,5.41666666666667
"8868",2019,5,11,0,0,0.896,3,-0.1,131,5.45833333333333
"8869",2019,5,12,0,0,0.885,3.3,0.4,132,5.5
"8870",2019,5,13,0,667,0.873,3.9,1.5,133,5.54166666666667
"8871",2019,5,14,0,2769.2,0.86,4.5,2.6,134,5.58333333333333
"8872",2019,5,15,0,3583.4,0.826,4.8,4.1,135,5.625
"8873",2019,5,16,0,3942.2,0.774,4.9,6.1,136,5.66666666666667
"8874",2019,5,17,0,3979,0.727,4.9,8,137,5.70833333333333
"8875",2019,5,18,0,3873.2,0.7,4.9,9.3,138,5.75
"8876",2019,5,19,0,3850.2,0.69,4.7,10,139,5.79166666666667
"8877",2019,5,20,0,3491.4,0.68,4.6,10.6,140,5.83333333333333
"8878",2019,5,21,0,2668,0.692,4.4,10.3,141,5.875
"8879",2019,5,22,0,487.6,0.725,4,9.2,142,5.91666666666667
"8880",2019,5,23,0,0,0.761,3.6,8,143,5.95833333333333
"8881",2019,6,0,0,0,0.798,3.4,7.1,144,6
"8882",2019,6,1,0,0,0.835,3.3,6.4,145,6.04166666666667
"8883",2019,6,2,0,0,0.874,3.3,5.6,146,6.08333333333333
"8884",2019,6,3,0,0,0.9,3,4.9,147,6.125
"8885",2019,6,4,0,0,0.913,2.6,4.1,148,6.16666666666667
"8886",2019,6,5,0,0,0.925,2.3,3.3,149,6.20833333333333
"8887",2019,6,6,0,0,0.934,2.1,2.5,150,6.25
"8888",2019,6,7,0,0,0.94,2,1.7,151,6.29166666666667
"8889",2019,6,8,0,0,0.946,2.2,0.9,152,6.33333333333333
"8890",2019,6,9,0,0,0.941,2.3,0.5,153,6.375
"8891",2019,6,10,0,0,0.928,2.1,0.4,154,6.41666666666667
"8892",2019,6,11,0,0,0.914,2.2,0.4,155,6.45833333333333
"8893",2019,6,12,0,0,0.904,2.8,0.8,156,6.5
"8894",2019,6,13,0,9.2,0.897,3.7,1.5,157,6.54166666666667
"8895",2019,6,14,0,1283.4,0.89,4.7,2.3,158,6.58333333333333
"8896",2019,6,15,0,2428.8,0.859,5.1,3.5,159,6.625
"8897",2019,6,16,0,2884.2,0.808,5.2,5.2,160,6.66666666666667
"8898",2019,6,17,0,2065.4,0.761,5.3,6.8,161,6.70833333333333
"8899",2019,6,18,0,1334,0.733,5.3,7.7,162,6.75
"8900",2019,6,19,0,50.6,0.723,5.3,8,163,6.79166666666667
"8901",2019,6,20,0,0,0.713,5.2,8.4,164,6.83333333333333
"8902",2019,6,21,0,0,0.715,5.2,8.4,165,6.875
"8903",2019,6,22,0,0,0.728,5.2,8,166,6.91666666666667
"8904",2019,6,23,0,0,0.742,5.3,7.7,167,6.95833333333333
"8905",2019,7,0,0,0,0.764,5.5,7.6,168,7
"8906",2019,7,1,0,0,0.797,5.8,7.6,169,7.04166666666667
"8907",2019,7,2,0,0,0.83,6.2,7.6,170,7.08333333333333
"8908",2019,7,3,0,0,0.857,6.6,7.7,171,7.125
"8909",2019,7,4,0,0,0.876,6.9,8,172,7.16666666666667
"8910",2019,7,5,0,0,0.895,7.3,8.3,173,7.20833333333333
"8911",2019,7,6,0,0,0.903,7.5,8.6,174,7.25
"8912",2019,7,7,0,0,0.901,7.5,8.8,175,7.29166666666667
"8913",2019,7,8,0.1,0,0.898,7.6,9,176,7.33333333333333
"8914",2019,7,9,0.1,0,0.876,7.6,9.2,177,7.375
"8915",2019,7,10,0,0,0.835,7.6,9.2,178,7.41666666666667
"8916",2019,7,11,0,0,0.796,7.6,9.2,179,7.45833333333333
"8917",2019,7,12,0,0,0.775,7.9,9.5,180,7.5
"8918",2019,7,13,0,0,0.771,8.3,10.1,181,7.54166666666667
"8919",2019,7,14,0.1,0,0.767,8.8,10.7,182,7.58333333333333
"8920",2019,7,15,0.1,0,0.794,9.2,11,183,7.625
"8921",2019,7,16,0.1,0,0.855,9.5,10.9,184,7.66666666666667
"8922",2019,7,17,0,0,0.919,9.9,10.9,185,7.70833333333333
"8923",2019,7,18,0,0,0.953,10.1,11.2,186,7.75
"8924",2019,7,19,0,0,0.952,10.1,11.7,187,7.79166666666667
"8925",2019,7,20,0,0,0.951,10.3,12.3,188,7.83333333333333
"8926",2019,7,21,0,805,0.926,9.6,12.7,189,7.875
"8927",2019,7,22,0,478.4,0.879,8.2,13,190,7.91666666666667
"8928",2019,7,23,0,0,0.834,7.1,13.3,191,7.95833333333333
"8929",2019,8,0,0,0,0.827,6.2,12.9,192,8
"8930",2019,8,1,0,0,0.857,5.4,11.6,193,8.04166666666667
"8931",2019,8,2,0,0,0.888,4.5,10.4,194,8.08333333333333
"8932",2019,8,3,0,0,0.907,3.9,9.4,195,8.125
"8933",2019,8,4,0,0,0.915,3.7,8.7,196,8.16666666666667
"8934",2019,8,5,0,0,0.922,3.5,8,197,8.20833333333333
"8935",2019,8,6,0,0,0.927,3.4,7.4,198,8.25
"8936",2019,8,7,0,0,0.929,3.4,6.9,199,8.29166666666667
"8937",2019,8,8,0,0,0.932,3.3,6.4,200,8.33333333333333
"8938",2019,8,9,0,0,0.923,3.6,6.1,201,8.375
"8939",2019,8,10,0,0,0.903,4.2,6.1,202,8.41666666666667
"8940",2019,8,11,0,0,0.883,4.8,6.2,203,8.45833333333333
"8941",2019,8,12,0,0,0.847,5.6,6.4,204,8.5
"8942",2019,8,13,0,717.6,0.797,6.7,6.7,205,8.54166666666667
"8943",2019,8,14,0,2870.4,0.75,7.8,7.1,206,8.58333333333333
