site_id	range	row	date	time_point	leaf_mass	stem_mass	brown_leaf_mass	flower_mass	root_mass
EF	14	130	8/4/16	q	0.05	0.077		0	
EF	8	130	8/4/16	q	0.054	0.09		0.002	
EF	3	42	8/4/16	q	0.03	0.051		0	
EF	9	42	8/4/16	q	0.061	0.112		0	
EF	9	86	8/26/16	w	0.0644	0.1768		0	
EF	18	42	8/26/16	w	0.0578	0.1388		0	
EF	16	130	8/26/16	w	0.074	0.197		0	
EF	10	130	8/26/16	w	0.0424	0.113		0	
EF	6	42	9/28/16	x	0.196	0.67		0	
EF	3	86	9/28/16	x	0.186	0.608		0	
EF	9	86	9/28/16	x	0.098	0.31		0	
EF	22	130	9/28/16	x	0.148	0.378		0	
MW_trans_border	6	5	7/6/17	b	0.0054	0.0032	0	0	0.0078
MW_trans_border	8	5	7/6/17	b	0.0038	0.0026	0	0	0.0044
MW_trans_border	2	5	7/6/17	b	0.0056	0.0036	0	0	0.0086
MW_trans_border	4	5	7/6/17	b	0.0104	0.0076	0	0	0.0104
MW_trans_border	8	3	6/27/17	a	0.001	0.0006	0	0	0.0008
MW_trans_border	6	3	6/27/17	a	0.002	0.001	0	0	0.0014
MW_trans_border	4	3	6/27/17	a	0.0014	0.0006	0	0	0.0006
MW_trans_border	2	3	6/27/17	a	0.0008	0.0004	0	0	
MW_trans_border	3	4	7/27/17	c	0.0426	0.036	0	0	
MW_trans_border	5	4	7/27/17	c	0.0874	0.08328	0	0	
MW_trans_border	7	4	7/27/17	c	0.0902	0.1156	0	0	
MW_trans_border	9	4	7/27/17	c	0.0386	0.0402	0	0	
EF_check	3	1_2	7/15/17	d	0.02155	0.01622	0	0	
EF_check	9	1_2	7/15/17	d	0.02362	0.01398	0	0	
EF_check	12	1_2	7/15/17	d	0.00726	0.01192	0	0	
EF_check	20	1_2	7/15/17	d	0.02212	0.01781	0	0	
EF_check	22	1_2	7/15/17	d	0.01682	0.02011	0	0	
EF_check	2	1_2	7/15/17	d	0.00992	0.005	0	0	
EF_check	8	1_2	7/15/17	d	0.02953	0.02163	0	0	
EF_check	13	1_2	7/15/17	d	0.0055	0.01559	0	0	
EF_check	17	1_2	7/15/17	d	0.01424	0.0283	0	0	
EF_check	24	1_2	7/15/17	d	0.05828	0.04072	0	0	
EF_check	5	1_2	7/15/17	d	0.02814	0.0141	0	0	
EF_check	7	1_2	7/15/17	d	0.01919	0.00765	0	0	
EF_check	11	1_2	7/15/17	d	0.03185	0.01919	0	0	
EF_check	19	1_2	7/15/17	d	0.02137	0.01152	0	0	
EF_check	25	1_2	7/15/17	d	0.02534	0.01725	0	0	
EF_check	6	1_2	7/15/17	d	0.01666	0.0105	0	0	
EF_check	15	1_2	7/15/17	d	0.02781	0.00575	0	0	
EF_check	18	1_2	7/15/17	d	0.00853	0.00457	0	0	
EF_check	23	1_2	7/15/17	d	0.02705	0.01866	0	0	
EF_check	26	1_2	7/15/17	d	0.02795	0.02203	0	0	
EF_check	4	1_2	7/15/17	d	0.01266	0.0088	0	0	
EF_check	10	1_2	7/15/17	d	0.03212	0.02777	0	0	
EF_check	14	1_2	7/15/17	d	0.02891	0.01346	0	0	
EF_check	16	1_2	7/15/17	d	0.01308	0.00545	0	0	
EF_check	21	1_2	7/15/17	d	0.03539	0.02819	0	0	
EF_check	3	3_4	8/10/17	e	0.045	0.068	0	0	
EF_check	9	3_4	8/10/17	e	0.08	0.143	0	0	
EF_check	12	3_4	8/10/17	e	0.072	0.133	0	0	
EF_check	20	3_4	8/10/17	e	0.052	0.086	0	0	
EF_check	22	3_4	8/10/17	e	0.073	0.129	0	0	
EF_check	2	3_4	8/10/17	e	0.042	0.06	0	0	
EF_check	8	3_4	8/10/17	e	0.061	0.102	0	0	
EF_check	13	3_4	8/10/17	e	0.08	0.148	0	0	
EF_check	17	3_4	8/10/17	e	0.071	0.139	0	0	
EF_check	24	3_4	8/10/17	e	0.093	0.175	0	0	
EF_check	5	3_4	8/10/17	e	0.069	0.094	0	0	
EF_check	7	3_4	8/10/17	e	0.031	0.039	0	0	
EF_check	11	3_4	8/10/17	e	0.086	0.132	0	0	
EF_check	19	3_4	8/10/17	e	0.075	0.125	0	0	
EF_check	25	3_4	8/10/17	e	0.096	0.17	0	0	
EF_check	6	3_4	8/10/17	e	0.054	0.058	0	0	
EF_check	15	3_4	8/10/17	e	0.061	0.097	0	0	
EF_check	18	3_4	8/10/17	e	0.062	0.093	0	0	
EF_check	23	3_4	8/10/17	e	0.064	0.106	0	0	
EF_check	26	3_4	8/10/17	e	0.071	0.111	0	0	
EF_check	4	3_4	8/10/17	e	0.177	0.27	0	0	
EF_check	10	3_4	8/10/17	e	0.065	0.078	0	0	
EF_check	14	3_4	8/10/17	e	0.074	0.126	0	0	
EF_check	16	3_4	8/10/17	e			0	0	
EF_check	21	3_4	8/10/17	e	0.084	0.129	0	0	
EF_check	2	5	9/27/17	f	0.101	0.435	0.026	0	
EF_check	3	5	9/27/17	f	0.063	0.46	0.27	0.036	
EF_check	4	5	9/27/17	f	0.1	0.331	0.011	0	
EF_check	5	5	9/27/17	f	0.042	0.188	0.007	0.009	
EF_check	6	5	9/27/17	f	0.062	0.246	0.015	0	
EF_check	7	5	9/27/17	f	0.076	0.311	0.02	0	
EF_check	8	5	9/27/17	f	0.092	0.414	0.022	0	
EF_check	9	5	9/27/17	f	0.075	0.453	0.015	0.04	
EF_check	10	5	9/27/17	f	0.199	0.617	0.018	0	
EF_check	15	5	9/27/17	f	0.1	0.405	0.014	0.005	
