"","year","doy","hour","precip","solar","rh","windspeed","temp","doy_time","time"
"1",2014,38,0,0,0,0.714,1.2,-1.4,912,38
"2",2014,38,1,0,0,0.695,1.3,-2.1,913,38.0416666666667
"3",2014,38,2,0,0,0.676,1.5,-2.8,914,38.0833333333333
"4",2014,38,3,0,0,0.649,1.7,-2.6,915,38.125
"5",2014,38,4,0,23,0.617,1.8,-1.4,916,38.1666666666667
"6",2014,38,5,0,1168.4,0.586,2,-0.2,917,38.2083333333333
"7",2014,38,6,0,3169.4,0.533,1.8,1.8,918,38.25
"8",2014,38,7,0,3657,0.467,1.3,4.6,919,38.2916666666667
"9",2014,38,8,0,3197,0.41,0.9,7.4,920,38.3333333333333
"10",2014,38,9,0,4080.2,0.368,0.8,9.5,921,38.375
"11",2014,38,10,0,4066.4,0.335,0.7,10.8,922,38.4166666666667
"12",2014,38,11,0,3900.8,0.306,0.9,12.2,923,38.4583333333333
"13",2014,38,12,0,3482.2,0.317,1.2,12,924,38.5
"14",2014,38,13,0,2760,0.369,1.6,10.5,925,38.5416666666667
"15",2014,38,14,0,800.4,0.432,2,8.9,926,38.5833333333333
"16",2014,38,15,0,0,0.482,1.8,7.5,927,38.625
"17",2014,38,16,0,0,0.515,1.2,6.4,928,38.6666666666667
"18",2014,38,17,0,0,0.549,1.3,5.3,929,38.7083333333333
"19",2014,38,18,0,0,0.581,1.5,4,930,38.75
"20",2014,38,19,0,0,0.612,1.3,2.7,931,38.7916666666667
"21",2014,38,20,0,0,0.645,1.2,1.4,932,38.8333333333333
"22",2014,38,21,0,0,0.676,1.3,0.4,933,38.875
"23",2014,38,22,0,0,0.704,1.4,-0.3,934,38.9166666666667
"24",2014,38,23,0,0,0.733,1.5,-1,935,38.9583333333333
"25",2014,39,0,0,0,0.738,1.6,-1.6,936,39
"26",2014,39,1,0,0,0.72,1.7,-2.1,937,39.0416666666667
"27",2014,39,2,0,0,0.701,1.9,-2.6,938,39.0833333333333
"28",2014,39,3,0,0,0.671,2,-2.2,939,39.125
"29",2014,39,4,0,46,0.632,2.1,-1.1,940,39.1666666666667
"30",2014,39,5,0,1297.2,0.595,2.3,0.2,941,39.2083333333333
"31",2014,39,6,0,3404,0.534,2.1,2.5,942,39.25
"32",2014,39,7,0,3845.6,0.461,1.6,5.9,943,39.2916666666667
"33",2014,39,8,0,3284.4,0.399,1.1,9.3,944,39.3333333333333
"34",2014,39,9,0,4199.8,0.35,0.6,11.5,945,39.375
"35",2014,39,10,0,4167.6,0.309,0.2,12.8,946,39.4166666666667
"36",2014,39,11,0,4011.2,0.275,0.4,13.9,947,39.4583333333333
"37",2014,39,12,0,3634,0.282,0.8,13.8,948,39.5
"38",2014,39,13,0,2957.8,0.331,1.1,12.4,949,39.5416666666667
"39",2014,39,14,0,1150,0.391,1.5,10.9,950,39.5833333333333
"40",2014,39,15,0,0,0.459,1.7,9.4,951,39.625
"41",2014,39,16,0,0,0.536,2.1,7.8,952,39.6666666666667
"42",2014,39,17,0,0,0.625,2.6,6.1,953,39.7083333333333
"43",2014,39,18,0,0,0.68,2.7,5.1,954,39.75
"44",2014,39,19,0,0,0.693,2.4,4.6,955,39.7916666666667
"45",2014,39,20,0,0,0.704,2.3,4.1,956,39.8333333333333
"46",2014,39,21,0,0,0.711,2,3.7,957,39.875
"47",2014,39,22,0,0,0.713,1.5,3.5,958,39.9166666666667
"48",2014,39,23,0,0,0.716,1.1,3.3,959,39.9583333333333
"49",2014,40,0,0,0,0.723,0.9,3,960,40
"50",2014,40,1,0,0,0.733,0.8,2.6,961,40.0416666666667
"51",2014,40,2,0,0,0.744,0.7,2.2,962,40.0833333333333
"52",2014,40,3,0,0,0.748,0.7,2.2,963,40.125
"53",2014,40,4,0,32.2,0.748,0.7,2.6,964,40.1666666666667
"54",2014,40,5,0,1025.8,0.746,0.8,3,965,40.2083333333333
"55",2014,40,6,0,2097.6,0.727,0.5,4.3,966,40.25
"56",2014,40,7,0,1104,0.693,0.3,6.4,967,40.2916666666667
"57",2014,40,8,0,993.6,0.66,1,8.6,968,40.3333333333333
"58",2014,40,9,0,1223.6,0.615,1.7,10.4,969,40.375
"59",2014,40,10,0,1209.8,0.562,2.4,11.8,970,40.4166666666667
"60",2014,40,11,0,87.4,0.514,3.1,13.1,971,40.4583333333333
"61",2014,40,12,0,46,0.527,3.2,13,972,40.5
"62",2014,40,13,0,570.4,0.602,2.8,11.6,973,40.5416666666667
"63",2014,40,14,0,13.8,0.69,2.4,10.1,974,40.5833333333333
